Block,Trial,Condition,Oddball,Reaction Time (s),Stimulus Onset (s),Stimulus Offset (s)
15,6,Condition 4,False,,314.3008327120001,314.7029127550004
15,7,Condition 4,True,,314.9134563360003,315.316029482
15,8,Condition 4,False,315.5529751680001,315.5253263630002,315.92909147
15,9,Condition 4,False,,316.1379982000003,316.5394121540003
15,10,Condition 4,False,,316.74707778400034,317.1485250610003
15,11,Condition 4,False,,317.3582615260002,317.76341732000037
15,12,Condition 4,False,,317.971593494,318.3736153540003
15,13,Condition 4,False,,318.58311119100017,318.98455032400034
15,14,Condition 4,False,,319.19239264700036,319.5942672700003
15,15,Condition 4,False,,319.805331946,320.207223076
15,16,Condition 4,False,,320.4158852710002,320.817916597
15,17,Condition 4,False,,321.028428822,321.43309548100024
15,18,Condition 4,False,,321.6410934290002,322.0436921520004
15,19,Condition 4,False,,322.25365582500035,322.6556236580004
15,20,Condition 4,False,,322.86579333400005,323.2679836790003
16,1,Condition 3,True,,333.48075026900005,333.8824314220001
16,2,Condition 3,False,,334.0899330670004,334.491822468
16,3,Condition 3,False,,334.7035630280002,335.10584516300014
16,4,Condition 3,True,335.73072278100017,335.318040356,335.72000706300014
16,5,Condition 3,False,,335.93075036200025,336.33252662700033
16,6,Condition 3,False,,336.54043174100025,336.9419943140001
16,7,Condition 3,False,,337.1512266900004,337.5531907640002
16,8,Condition 3,False,,337.7635757070002,338.1660652790001
16,9,Condition 3,False,,338.37482760800003,338.77726315100017
16,10,Condition 3,False,,338.98628383000005,339.3880962760004
16,11,Condition 3,False,,339.5967582540002,339.9997465260003
16,12,Condition 3,False,,340.2075169640002,340.6094829890003
16,13,Condition 3,False,,340.8194482400004,341.22135768700036
16,14,Condition 3,False,,341.43339310400006,341.8347978480001
16,15,Condition 3,True,342.46270481600004,342.04355569200015,342.44880855500014
16,16,Condition 3,False,,342.6570188540004,343.05881361
16,17,Condition 3,False,,343.268837566,343.67075130500007
16,18,Condition 3,False,,343.87884178600007,344.28069053200034
16,19,Condition 3,True,344.892094542,344.489277784,344.89252689900013
16,20,Condition 3,False,,345.0998888860004,345.5017285900003
